claim_id,actuator,claimed_role,evidence_type,source_file,source_location_or_keyword,numeric_value,baseline_or_comparator,metric,interpretation,evidence_strength,allowed_wording,forbidden_wording,next_evidence_gap
LAMBDA_ANALYTIC_M2,Lambda_diff,phase-spacing / event rhythm actuator,analytic event-domain actuator matrix,output/iqcot_four_phase_actuator_matrix.csv,"line 3; lambda_diff,m2_alt","G_current_pkpk=0.009957935 mA/(1e-13 V*s); G_phase_wait_pkpk=0.132243120 ns/(1e-13 V*s); G_event_wait_rms=0.066124454 ns/(1e-13 V*s)",m2_alt pattern,small-signal current and wait gain,Lambda_diff has a measurable event timing channel but a very weak DC current channel,strong,"Lambda_diff mainly trims phase spacing/event rhythm/ripple-cancellation in the studied four-phase digital IQCOT model.","Lambda_diff is the main or strong DC current-sharing actuator.","If active Lambda control is claimed, run a separate event-native Lambda micro-audit; do not infer it from side-band/logging."
LAMBDA_SIM_PERPHASE_M2,Lambda_diff,phase-spacing / event rhythm actuator,derived-Simulink per-phase IEK evidence,output/iqcot_iek_perphase_model_validation_report.md,"keyword: Lambda_m2/Lambda_area=0.400","m2 current projection=0.001163 A; phase-spacing std=24.839189 ns at Lambda_m2/Lambda_area=0.4",Lambda_m2/Lambda_area=0 baseline,per-phase area-kernel m2 projection,Even with per-phase current term included, Lambda_m2 remains a weak DC current-sharing channel,strong,"Lambda_m2 can be described as weak for DC sharing and relevant to phase/event timing.","Lambda_diff has no current effect at all.","Locate raw per-phase validation rows if exact line-level CSV trace is needed for publication supplement."
LAMBDA_LOAD_SWEEP,Lambda_diff,phase-spacing / event rhythm actuator,derived-Simulink static load sweep,output/iqcot_iek_perphase_load_sweep_report.md,"keyword: 20/30/40/50 A; Lambda_m2/Lambda_area=0.4","cross-load max m2 current projection=0.009382 A; max phase-spacing std=52.524405 ns",Lambda_m2/Lambda_area=0 across 20-50 A,load-sweep m2 projection and phase spacing,The weak-DC-current interpretation is not only a single 40 A point; phase-spacing impact remains visible,strong,"Across the tested 20-50 A static load sweep, Lambda_m2 remains weak as a DC sharing actuator.","Lambda_diff is validated as a robust active current-sharing controller.","If robustness is needed, add a minimal event-native active Lambda implementation check."
LAMBDA_E030_C2,Lambda_diff,not a strong DC current-sharing actuator,derived-Simulink E030 ablation,experiments/E030_balance_recovery/e030_c2_lambda_diff_report.md,"metrics table; C2_lambda_diff_only","max imbalance=0.853665 A; RMS imbalance=0.830663 A; phase spacing std=42.7227 ns; lambda usage=0.75; clamp=78",C0_original_iqcot_dcr_mismatch,E030 current-sharing ablation,Lambda_diff-only did not improve DC current imbalance versus C0 in the tested DCR mismatch chunk,medium-strong,"In the E030 chunk, Lambda_diff-only did not recover DC current sharing and remains a phase/event-side variable.","Lambda_diff is useless or has zero effect.","Validate an event-native Lambda path before claiming active closed-loop Lambda control."
TON_ANALYTIC_M2,Ton_diff,main DC current-sharing actuator with phase cost,analytic event-domain actuator matrix,output/iqcot_four_phase_actuator_matrix.csv,"line 6; ton_diff,m2_alt","G_current_pkpk=765.070770 mA/(0.1 ns); G_phase_wait_pkpk=84.643830 ns/(0.1 ns); G_event_wait_rms=42.409492 ns/(0.1 ns)",m2_alt pattern,small-signal current and wait gain,Ton_diff has a much stronger DC current channel than Lambda_diff but also a large phase/wait cost,strong,"Ton_diff is the primary DC current-sharing actuator within the studied model and must be phase-constrained.","Ton_diff solves all transient problems or can be used without phase/ripple cost.","R052 should convert Ton resolution and timing cost into a digital budget boundary."
TON_SIM_M2,Ton_diff,main DC current-sharing actuator with phase cost,derived-Simulink modal cross-validation,output/iqcot_simulink_modal_cross_validation_summary.csv,"row: m2_p4ns","[+4,-4,+4,-4] ns gives il_m2_projection=1.943019973 A and il_phase_imbalance=3.927571685 A",baseline row,Simulink m2 current projection,Switching-level derived Simulink reproduces a strong Ton m2 current channel,strong,"A [+4,-4,+4,-4] ns Ton_diff perturbation produces an observable m2 current projection in the derived model.","This proves hardware current-sharing performance.","No new gap for separation; broader load/mismatch robustness would be a separate validation."
TON_E030_C1,Ton_diff,main DC current-sharing actuator with cost,derived-Simulink E030 ablation,experiments/E030_balance_recovery/e030_metrics.csv,"rows C0,C1,C3,C4","C0 max imbalance=0.853665 A; C1 Ton_diff max imbalance=0.313775 A; C1 ripple=15.2173 mV; final error=-58.1561 mV",C0_original_iqcot_dcr_mismatch,E030 current imbalance and cost,Ton_diff reduces current imbalance but aggressive trim introduces voltage/ripple/final-error cost,strong,"Ton_diff is a strong current-sharing channel that needs projection and guard limits.","Only tuning Ton_diff solves all steady and transient issues.","Use guarded selector evidence rather than aggressive C1/C3 as final controller claim."
TON_GUARDED_AS,Ton_diff,guarded current-sharing action component,derived-Simulink guarded projection evidence,"experiments/E030_balance_recovery/R1_projection_retune/e030_r1_research_summary.md; experiments/E030_balance_recovery/R3_calibration_aware_guard/e030_r3_research_summary.md","R1-C4a, R3-C4a_cal","R1-C4a max imbalance=0.416996 A with Ton usage=0.404392; R3-C4a_cal real max imbalance=0.020618 A vs R3-C0 0.036272 A",Ton_diff reference C1 and guarded baseline C0,guarded a_S selector behavior,Projection and sensing/calibration guards are needed before treating Ton-based current sharing as a deployable supervisory action,medium-strong,"AI/table supervisor should tune K_T, T_trim_max, and balance_recovery_rate under guards.","AI directly controls per-cycle Ton_i or gate pulses.","If controller-performance claims are needed, freeze guarded selector then validate one more minimal mismatch case."
DELAY_ANALYTIC_M2,delay_diff,phase jitter / detection timing disturbance,analytic event-domain actuator matrix,output/iqcot_four_phase_actuator_matrix.csv,"line 9; delay_diff,m2_alt","G_current_pkpk=0.023249775 mA/(0.1 ns); G_phase_wait_pkpk=0.308759180 ns/(0.1 ns); G_event_wait_rms=0.154386352 ns/(0.1 ns)",m2_alt pattern,delay-induced current and wait gain,delay_diff is a timing/phase perturbation with a very weak current-sharing channel,strong,"delay_diff is better treated as detection timing jitter and digital implementation budget.","delay_diff should be a primary AI current-sharing action.","R052 should consolidate digital jitter budget across clock, comparator delay, Ton resolution, and area quantization."
DELAY_GAIN_BUDGET,delay_diff,phase jitter / detection timing disturbance,digital jitter gain summary,output/iqcot_digital_jitter_gain_summary.csv,"header fields delay_phase_gain_ns_per_ns_m2 and delay_current_gain_mA_per_ns_m2","delay_phase_gain=3.087591804 ns/ns; delay_current_gain=0.232497752 mA/ns",source actuator points=54,normalized delay gain,Normalized delay gains agree with the 0.1 ns actuator matrix and support treating delay as timing budget,strong,"Delay belongs in the event jitter / phase-spacing budget.","Delay is a recommended main supervisory control actuator.","R052 should state allowable delay/jitter budget ranges and evidence level."
DELAY_MONTE_CARLO_BUDGET,delay_diff,digital implementation budget term,Monte Carlo budget estimate,output/iqcot_pis_iek_monte_carlo_budget_report.md,"keyword: 12 bit, 1 ns, 10 ps, 0.5 ns","wait jitter rms mean=0.6466 ns; phase-spacing std mean=0.6466 ns; current-share rms mean=0.5059 mA",PIS-IEK local sensitivity budget,digital implementation budget,Random comparator delay and digital quantization map naturally to jitter and phase-spacing/current-sharing budgets,medium-strong,"Digital delay and quantization should be budgeted as event-domain jitter terms.","Digital budget is hardware-validated.","R052 should audit all budget rows and align them with final paper wording."
DELAY_AI_LATENCY_BOUNDARY,delay_diff,supervisor latency boundary / not direct actuator,event-domain delayed-supervisor evidence,output/iqcot_ai_delay_event_surrogate_report.md,"representative near-zero cut-load slice","tau_AI=5 us spans 10 events; zero-delay-trained violations=147.875; delay-aware projected violations=24.297",zero_delay_trained policy,AI latency as event-domain delay,Microsecond supervisor delay must be represented as event-indexed latency; it does not make delay_diff a gate-level action,medium,"AI should propose bounded low-dimensional parameters in delayed event coordinates.","AI directly controls gates or per-cycle timing as a main action.","Do not mix surrogate AI claims into R051 main actuator claim; use only as action-space implication."
COMBINED_PROJECTED_AS,"Ton_diff + Lambda_diff",projected action with Ton primary and Lambda boundary/side-band,derived-Simulink E030 projected balance evidence,experiments/E030_balance_recovery/e030_research_summary.md,"C4 projected balancer; final E030 classification","C4 max imbalance=0.376221 A; Ton usage=0.537860; Lambda usage=0; final error=-23.4942 mV",C0, C1, C2, C3,projected controller trade-off,C4 supports guarded projection but not a global superiority claim; active Lambda remained disabled/logging in follow-up,strong for boundary and medium for controller performance,"Combined projected action should prioritize Ton current sharing and keep Lambda as guarded phase/event boundary until event-native validation.","C4 globally outperforms Ton_diff-only or validates active Lambda control.","Freeze guarded a_S selector before broad controller-performance claims."
