claim_id,budget_source,implementation_nonideality,mapped_event_quantity,evidence_type,source_file,source_location_or_keyword,numeric_value,baseline_or_comparator,metric,interpretation,evidence_strength,allowed_wording,forbidden_wording,next_evidence_gap
AREA_BITS_12,area threshold quantization,area_bits / Lambda_area threshold LSB,event threshold / wait jitter / phase-spacing jitter,deterministic PIS-IEK sensitivity budget,output/iqcot_digital_area_bit_budget.csv,"row: area_bits=12","q_lambda=3.0976284074115916e-13 V*s; q_lambda/Lambda_nominal=0.00048828125; sigma_wait_common_rms=0.032354876 ns; sigma_phase_spacing_m2=0.118252895 ns; sigma_event_wait_m2=0.059129036 ns",full-scale assumption 2*Lambda_nominal,area threshold LSB to wait/phase budget,Area threshold quantization enters the event surface and maps to wait and phase/event jitter rather than hardware proof,strong model-level budget,"Area threshold quantization can be budgeted as event-threshold perturbation in the studied four-phase IQCOT model.","Area quantization is hardware validated or proves FPGA performance.","If publication supplement needs silicon numbers, add hardware/FPGA timing characterization later."
LAMBDA_GAIN_BUDGET,area threshold quantization,Lambda-related sensitivity,phase/event rhythm sensitivity,analytic gain summary,output/iqcot_digital_jitter_gain_summary.csv,"fields lambda_phase_gain_ns_per_area_m2 and lambda_event_rms_gain_ns_per_area_m2","lambda_phase_gain=1.3224311976095063e12 ns/(V*s); lambda_event_rms_gain=6.612445449297971e11 ns/(V*s)",R051 Lambda_diff actuator separation,normalized Lambda timing gains,Lambda threshold perturbations have a strong event/phase timing channel and weak DC current-sharing role,strong,"Lambda/area quantization is a phase/event budget channel.","Lambda quantization is a strong DC current-sharing actuator.","Only claim active Lambda control after event-native active Lambda validation."
DETECT_CLOCK_1NS,detection clock,detect_clock_ns event timing quantization,event wait jitter / phase-spacing jitter,deterministic timing budget,output/iqcot_digital_detection_clock_budget.csv,"row: detect_clock_ns=1.0","sigma_single_event_delay=0.288675135 ns; sigma_adjacent_spacing_direct=0.408248290 ns; sigma_phase_spacing_m2_model=0.891310980 ns; sigma_current_m2_model=0.067116320 mA",ideal continuous detection,event timing quantization,Detection clock granularity maps mainly to event timing and phase-spacing jitter with only a weak direct current term,strong model-level budget,"Detection-clock granularity contributes to event wait jitter and phase-spacing jitter.","A 1 ns clock result proves real FPGA timing performance.","Cross-check with real digital controller clocking and comparator capture path when hardware exists."
TON_RES_10PS,Ton resolution,ton_resolution_ps / DPWM on-time granularity,current-sharing quantization / phase-spacing cost,deterministic Ton quantization budget,output/iqcot_digital_ton_resolution_budget.csv,"row: ton_resolution_ps=10","sigma_ton_quant=0.002886751 ns; sigma_current_pkpk_m2=22.085690750 mA; sigma_phase_spacing_m2=2.443456906 ns",continuous Ton_diff command,current m2 quantization and phase-spacing scale,Ton resolution sets the granularity of the dominant DC current-sharing actuator and also carries phase-spacing cost,strong model-level budget,"Ton resolution sets current-sharing trim granularity for Ton_diff in the studied model.","Ton resolution alone proves closed-loop current-sharing performance.","If controller-performance claims are needed, validate the guarded selector with the chosen Ton resolution."
TON_GAIN_LINK,Ton resolution,Ton_diff actuator gain,current-sharing quantization link to R051,actuator gain summary,output/iqcot_digital_jitter_gain_summary.csv,"field ton_current_gain_mA_per_ns_m2","ton_current_gain=7650.707700 mA/ns; ton_phase_gain=846.438301 ns/ns",R051 ton_diff,m2_alt current gain 765.070770 mA/(0.1 ns),normalized Ton gain,Ton budget numerically matches R051 actuator separation and translates resolution into current trim granularity,strong,"R051 Ton_diff separation can be converted into a Ton-resolution budget.","Ton_diff can be used without phase/ripple/voltage cost.","Carry phase/ripple/voltage guards into any future action-space validation."
DELAY_GAIN_BUDGET,comparator / detection delay,delay_diff / detection timing disturbance,wait jitter / phase-spacing jitter,digital jitter gain summary,output/iqcot_digital_jitter_gain_summary.csv,"fields delay_phase_gain_ns_per_ns_m2 and delay_current_gain_mA_per_ns_m2","delay_phase_gain=3.087591804 ns/ns; delay_current_gain=0.232497752 mA/ns",R051 delay_diff actuator separation,delay-induced timing and weak current gain,Delay maps primarily to phase/event timing and only weakly to DC current sharing,strong,"Comparator and detection delay are timing budget terms.","delay_diff should be the main AI current-sharing action.","R052 supports budget wording; hardware comparator delay measurement remains future work."
COMP_DELAY_MC_0P5NS,comparator / detection delay,comp_delay_sigma_ns random detection delay,event wait jitter / phase-spacing jitter / current-share rms,Monte Carlo PIS-IEK budget,output/iqcot_pis_iek_monte_carlo_summary.csv,"row: area_bits=12, detect_clock_ns=1.0, ton_resolution_ps=10, comp_delay_sigma_ns=0.5","wait_jitter_rms_mean=0.646621660 ns; phase_spacing_std_mean=0.646605297 ns; current_share_rms_mean=0.505914535 mA; seeds=16",same digital budget case without stochastic comparator delay,combined stochastic jitter metrics,Random comparator delay and quantization jointly map to jitter and small current-sharing rms at the representative point,medium-strong model/surrogate budget,"A 0.5 ns comparator-delay sigma can be included as event-domain jitter in the PIS-IEK budget.","This is measured comparator silicon performance.","Measure comparator and digital capture delay when hardware/HIL exists."
SUPERVISOR_TAU5US,supervisor / AI latency,tau_AI event-indexed action delay,u_{k-d} delayed supervisory action,event-domain AI delay surrogate,output/iqcot_ai_delay_event_surrogate_report.md,"representative near-zero cut-load slice","event period=0.5 us; tau_AI=5 us spans 10 events; zero-delay-trained violations=147.875; delay-aware projected violations=24.297",zero_delay_trained policy,severe surrogate violations and event latency,Multi-event supervisor latency must be represented in delayed event coordinates; this supports latency-aware supervisor design but not gate-level AI control,medium,"Supervisor latency should be modeled as u_{k-d} in event coordinates.","Supervisor can replace per-cycle IQCOT event generation or gate control.","Before neural claims, validate a rule/table supervisor with frozen action bounds."
SUPERVISOR_TAU1US_BOUNDARY,supervisor / AI latency,small AI latency boundary,u_{k-d} delay range boundary,event-domain AI delay surrogate,output/iqcot_ai_delay_event_surrogate_report.md,"statement: tau_AI=1us boundary","tau_AI=1 us; zero-delay reward=-637.369; delay-aware reward=-772.161",delay-aware policy,small-delay competitive boundary,Small delay does not imply delay-aware policy is always better; zero-delay-trained can remain competitive in some slices,medium boundary evidence,"Delay-aware training may matter at multi-event delay, while small-delay cases may remain competitive with zero-delay policies.","delay-aware AI is universally superior at all delays.","Use delayed-reference or surrogate validation before claiming policy superiority."
COMBINED_DETERMINISTIC_12_1_10,combined digital budget,area_bits + detect_clock_ns + ton_resolution_ps,event wait jitter / phase-spacing jitter / current quantization,deterministic RSS budget,output/iqcot_digital_combined_jitter_budget.csv,"row: area_bits=12, detect_clock_ns=1.0, ton_resolution_ps=10","sigma_common_wait_rss=0.290482652 ns; sigma_phase_spacing_rss=2.480147589 ns; sigma_current_rss=22.085792730 mA",individual deterministic budget rows,RSS combined budget without comparator stochastic delay,The deterministic area/clock/Ton budget maps directly to wait jitter phase-spacing jitter and current-sharing quantization,strong model-level budget,"Combined deterministic digital nonidealities can be summarized as a design budget.","The deterministic table replaces switching-level validation.","Use switching-level and hardware validation for final implementation claims."
